"country"	"year"	"arms_exports"
"Afghanistan"	2005	19
"Afghanistan"	2007	22
"Afghanistan"	2008	78
"Afghanistan"	2009	280
"Afghanistan"	2010	245
"Afghanistan"	2011	520
"Afghanistan"	2012	410
"Afghanistan"	2013	144
"Algeria"	2010	11
"Algeria"	2011	11
"Angola"	2013	1
"Argentina"	2003	11
"Argentina"	2004	19
"Argentina"	2005	3
"Argentina"	2006	9
"Argentina"	2007	15
"Argentina"	2008	17
"Argentina"	2009	8
"Argentina"	2010	3
"Argentina"	2011	1
"Argentina"	2012	3
"Argentina"	2013	6
"Australia"	2003	165
"Australia"	2004	114
"Australia"	2005	101
"Australia"	2006	348
"Australia"	2007	574
"Australia"	2008	320
"Australia"	2009	610
"Australia"	2010	1389
"Australia"	2011	1004
"Australia"	2012	589
"Australia"	2013	148
"Azerbaijan"	2009	0
"Azerbaijan"	2010	1
"Azerbaijan"	2011	1
"Azerbaijan"	2012	2
"Azerbaijan"	2013	0
"Bahamas"	2005	3
"Bahamas"	2009	1
"Bahrain"	2003	1
"Bahrain"	2005	63
"Bahrain"	2006	3
"Bahrain"	2007	26
"Bahrain"	2008	2
"Bahrain"	2010	68
"Bahrain"	2013	60
"Bangladesh"	2013	56
"Belgium"	2003	21
"Belgium"	2004	9
"Belgium"	2005	3
"Belgium"	2006	3
"Belgium"	2007	4
"Belgium"	2008	6
"Belgium"	2009	12
"Belgium"	2010	3
"Belgium"	2011	2
"Belgium"	2012	6
"Belgium"	2013	2
"Bolivia"	2011	1
"Bolivia"	2012	1
"Bolivia"	2013	1
"Botswana"	2009	2
"Botswana"	2010	2
"Brazil"	2003	8
"Brazil"	2004	20
"Brazil"	2005	18
"Brazil"	2006	18
"Brazil"	2007	19
"Brazil"	2008	33
"Brazil"	2009	0
"Brazil"	2010	24
"Brazil"	2011	84
"Brazil"	2012	111
"Brazil"	2013	69
"Brunei"	2003	0
"Brunei"	2004	0
"Brunei"	2013	15
"Bulgaria"	2007	3
"Bulgaria"	2008	5
"Bulgaria"	2011	3
"Cameroon"	2010	10
"Cameroon"	2013	2
"Canada"	2003	57
"Canada"	2004	71
"Canada"	2005	96
"Canada"	2006	68
"Canada"	2007	409
"Canada"	2008	359
"Canada"	2009	99
"Canada"	2010	197
"Canada"	2011	319
"Canada"	2012	189
